User ID ,First Name,Last Name,Branch Served,Role,First Year of Service ,Last Year of Service,Willing to meet at home,Age ,Interests ,ZIP,Max Relocation Radius ,LAT,LONG
JB1994,James,Butt,Navy ,Construction Mechanic ,1994,1995,1,46,"Dog, Drink, Write, Music",70116,40,29.96744,-90.064783
JD1984,Josephine,Darakjy,Air Force,Electricial ,1984,2004,0,56,"Music, Sports, Write, Work, Drink",48116,0,42.505744,-83.782892
AV1962,Art,Venere,Marines,Field ,1962,1980,0,78,"Family, Music, Write",8014,120,39.815906,-75.348335
LP1964,Lenna,Paprocki,Army ,Field ,1964,1989,0,76,"Travel, Family, Coffee, Dog, Food, Sports",99501,15,61.220018,-149.855702
WG1984,Wilda,Giguere,Army ,Field ,1984,1997,1,56,"Music, Family, Coffee, Adventure, Food, Write",99501,30,61.220018,-149.855702
GK1934,Gail,Kitty,Marines,Field ,1934,1957,0,106,"Food, Movies, Adventure, Coffee, Write, Drink, Music",99501,75,61.220018,-149.855702
DF1989,Donette,Foller,Coast Guard,Construction Mechanic ,1989,1996,1,51,"Sports, Work, Drink, Movies, Write, Travel",45011,15,39.426562,-84.497608
SM1971,Simona,Morasca,Space Force,Design ,1971,1973,1,69,"Adventure, Travel, Write, Drink, Coffee",44805,15,40.872668,-82.317033
MT1939,Mitsue,Tollner,Navy ,Construction Mechanic ,1939,1954,0,101,"Travel, Sports, Music",60632,30,41.810166,-87.713252
LD1941,Leota,Dilliard,Air Force,Electricial ,1941,1959,1,99,"Movies, Travel",95111,120,37.283111,-121.826245
VI1958,Veronika,Inouye,Air Force,Field ,1958,1962,0,82,"Travel, Coffee, Drink, Family, Write, Dog",95111,135,37.283111,-121.826245
SW1946,Sage,Wieser,Marines,Field ,1946,1952,1,94,"Music, Adventure",57105,75,43.520296,-96.735607
KM1940,Kris,Marrier,Army ,Field ,1940,1953,0,100,"Food, Adventure, Travel, Family, Write, Drink",21224,75,39.27486,-76.542833
AM1938,Abel,Maclead,Space Force,Design ,1938,1959,1,102,"Work, Music, Dog, Family",11953,45,40.892505,-72.951172
KC1982,Kiley,Caldarera,Navy ,Construction Mechanic ,1982,1994,1,58,"Family, Drink, Coffee",90034,90,34.030578,-118.399613
GR1990,Graciela,Ruta,Air Force,Electricial ,1990,2016,0,50,"Sports, Coffee, Work, Travel",44023,45,41.384751,-81.285759
CA1938,Cammy,Albares,Navy ,Field ,1938,1955,0,102,"Drink, Movies, Music, Write, Adventure",78045,120,27.833815,-99.681424
MP1976,Mattie,Poquette,Air Force,Field ,1976,2000,0,64,"Music, Work, Family, Sports, Dog",85013,75,33.511087,-112.084749
ES1954,Elke,Sengbusch,Space Force,Design ,1954,1976,1,86,"Sports, Dog, Coffee, Work",85013,60,33.511087,-112.084749
MG1971,Meaghan,Garufi,Marines,Construction Mechanic ,1971,1979,0,69,"Coffee, Sports, Dog, Movies, Adventure, Work, Family",37110,15,35.64509,-85.741252
GR1930,Gladys,Rim,Army ,Design ,1930,1939,1,110,"Food, Dog, Work",53207,105,42.977392,-87.898851
YW1973,Yuki,Whobrey,Coast Guard,Construction Mechanic ,1973,1981,0,67,"Sports, Drink, Coffee, Movies, Travel",48180,120,42.225283,-83.267691
FF1975,Fletcher,Flosi,Space Force,Electricial ,1975,1999,0,65,"Adventure, Food, Coffee, Work, Travel",61109,135,42.191304,-89.055756
BN1946,Bette,Nicka,Navy ,Field ,1946,1957,1,94,"Work, Travel, Music, Coffee, Sports, Family, Food",19014,90,39.864907,-75.432958
WK1973,Willard,Kolmetz,Marines,Construction Mechanic ,1973,1991,0,67,"Sports, Adventure",75062,45,32.84737,-96.957871
MR1956,Maryann,Royster,Army ,Design ,1956,1981,1,84,"Dog, Write, Movies",12204,150,42.691517,-73.73375
AS1983,Alisha,Slusarski,Coast Guard,Construction Mechanic ,1983,2005,0,57,"Drink, Sports, Adventure, Music, Work",8846,135,40.574627,-74.498259
AI1985,Allene,Iturbide,Space Force,Electricial ,1985,1995,1,55,"Travel, Food",54481,75,44.510664,-89.638254
CC1937,Chanel,Caudy,Navy ,Field ,1937,1938,1,103,"Drink, Dog, Travel, Coffee, Write, Sports, Adventure",66218,120,39.02069,-94.818802
EC1985,Ezekiel,Chui,Air Force,Field ,1985,2007,0,55,"Food, Movies",21601,75,38.79365,-76.081602
WK1972,Willow,Kusko,Navy ,Construction Mechanic ,1972,1987,1,68,"Coffee, Work",10011,60,40.742039,-74.00062
JS1931,Jose,Stockham,Marines,Construction Mechanic ,1931,1950,0,109,"Music, Coffee",10011,90,40.742039,-74.00062
LS1952,Layla,Springe,Air Force,Electricial ,1952,1968,0,88,"Coffee, Sports",10011,135,40.742039,-74.00062
BF1981,Bernardo,Figeroa,Air Force,Design ,1981,1999,0,59,"Write, Food, Music, Family, Travel, Work, Dog",77301,105,30.307375,-95.438548
TM1933,Tracey,Modzelewski,Air Force,Electricial ,1933,1956,1,107,"Work, Adventure, Movies, Food, Family",77301,90,30.307375,-95.438548
AC1969,Annmarie,Castros,Navy ,Field ,1969,1991,1,71,"Family, Movies, Write, Adventure, Food, Coffee, Work",77301,120,30.307375,-95.438548
AC1937,Ammie,Corrio,Marines,Construction Mechanic ,1937,1960,1,103,"Adventure, Drink, Dog, Write, Coffee, Work, Family",43215,135,39.966856,-83.01296
FV1972,Francine,Vocelka,Army ,Electricial ,1972,1994,0,68,"Dog, Drink, Sports",88011,135,32.322443,-106.656276
ES1957,Ernie,Stenseth,Coast Guard,Field ,1957,1979,0,83,"Write, Travel, Family",7660,120,40.854705,-74.019926
AG1932,Albina,Glick,Space Force,Field ,1932,1942,1,108,"Movies, Write, Music, Dog, Food, Drink",8812,15,40.598731,-74.478793
AS1969,Alishia,Sergi,Navy ,Construction Mechanic ,1969,1983,0,71,"Movies, Family",10025,30,40.798601,-73.966622
SS1998,Solange,Shinko,Air Force,Design ,1998,2010,1,42,"Adventure, Drink, Food, Music",70002,135,30.012223,-90.162523
RO1995,Rozella,Ostrosky,Army ,Electricial ,1995,2012,0,45,"Food, Travel, Drink, Music, Family, Dog",93012,105,34.196026,-118.992531
VG1950,Valentine,Gillian,Coast Guard,Field ,1950,1951,0,90,"Family, Movies",78204,75,29.404404,-98.505028
LM1964,Lorean,Martabano,Navy ,Construction Mechanic ,1964,1973,0,76,"Write, Work, Dog, Movies, Drink",78204,60,29.404404,-98.505028
KR1931,Kati,Rulapaugh,Space Force,Field ,1931,1933,0,109,"Music, Travel, Food",67410,135,38.956476,-97.21909
CB1960,Carlee,Boulter,Navy ,Construction Mechanic ,1960,1977,0,80,"Family, Coffee",67410,135,38.956476,-97.21909
YS1982,Youlanda,Schemmer,Navy ,Construction Mechanic ,1982,1997,0,58,"Food, Coffee",97754,60,44.15964,-120.585505
DO1958,Dyan,Oldroyd,Air Force,Design ,1958,1966,0,82,"Movies, Drink, Family",66204,30,38.990381,-94.678214
LP1951,Lavera,Perin,Air Force,Electricial ,1951,1968,0,89,"Adventure, Sports, Music, Family, Drink",33196,90,25.652131,-80.490508
EF1989,Erick,Ferencz,Marines,Field ,1989,2008,0,51,"Write, Coffee, Sports, Drink",99712,30,65.058723,-145.925302
